ID,Domain,Screen_or_State,Target_Route_or_Surface,Purpose,Required_Data_or_API,Notes,Route_Audited,Functional,Visual,States,Responsive,Tests,Screenshot_QA,Status
001,Authentication,Splash / Bootstrap,/splash,"Secure startup, config and session restoration",local config + auth/session,,NO,NO,NO,NO,NO,NO,NO,TODO
002,Authentication,Onboarding — Connected Care,/onboarding/connected-care,Explain unified care ecosystem,public app content/config,,NO,NO,NO,NO,NO,NO,NO,TODO
003,Authentication,Onboarding — Membership,/onboarding/membership,Explain membership and privilege card,public plan summary,,NO,NO,NO,NO,NO,NO,NO,TODO
004,Authentication,Onboarding — Rewards,/onboarding/rewards,Explain rewards without unapproved conversion promises,public reward rules,,NO,NO,NO,NO,NO,NO,NO,TODO
005,Authentication,Welcome / Entry Choice,/welcome,Choose login or registration,local navigation,,NO,NO,NO,NO,NO,NO,NO,TODO
006,Authentication,Customer Phone Login,/customer/login,Start Firebase phone authentication,Firebase + customer auth repository,,NO,NO,NO,NO,NO,NO,NO,TODO
007,Authentication,OTP Verification,/customer/otp,Verify OTP and establish session,Firebase + auth exchange,,NO,NO,NO,NO,NO,NO,NO,TODO
008,Authentication,OTP Resend / Timeout,same auth surface,Handle resend countdown and retry,Firebase auth,,NO,NO,NO,NO,NO,NO,NO,TODO
009,Authentication,OTP Error / Rate Limit,same auth surface,Explain invalid/expired/rate-limited OTP,Firebase/auth errors,,NO,NO,NO,NO,NO,NO,NO,TODO
010,Authentication,Existing Customer Lookup,/register/lookup,Prevent duplicate customer registration,customer lookup API,,NO,NO,NO,NO,NO,NO,NO,TODO
011,Authentication,Existing Customer Found,/register/existing,Review and convert/link legacy customer,customer conversion API,,NO,NO,NO,NO,NO,NO,NO,TODO
012,Authentication,Registration — Personal Details,/register/personal,Capture customer profile,customer create/update,,NO,NO,NO,NO,NO,NO,NO,TODO
013,Authentication,Registration — Contact and Address,/register/contact,Capture alternative contact and address,customer contacts + addresses,,NO,NO,NO,NO,NO,NO,NO,TODO
014,Authentication,Registration — Consent,/register/consent,Capture versioned consent,consent/legal API,,NO,NO,NO,NO,NO,NO,NO,TODO
015,Authentication,Registration — Review,/register/review,Review before submit,registration draft,,NO,NO,NO,NO,NO,NO,NO,TODO
016,Authentication,Registration Complete,/register/complete,Confirm account/membership result,registration response,,NO,NO,NO,NO,NO,NO,NO,TODO
017,Authentication,Membership Pending,auth/portal gate,Truthful pending state,membership status,,NO,NO,NO,NO,NO,NO,NO,TODO
018,Authentication,Account Suspended / Archived,auth/portal gate,Blocked-account explanation and support action,customer status,,NO,NO,NO,NO,NO,NO,NO,TODO
